Id,Label,Description,Section,Cardinality,Terms,Datatype,Pattern,Unit,Enumeration,MissingValueCodes,Notes,Provenance,SeeAlso
nih_disability,"Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?","The `nih_disability` variable records responses to the prompt, or a congruently meaning prompt, ""Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?"".  Equivalent prompts are: 

- ""Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook, bathing or dressing."" (RADx-UP)
- ""Do you have any serious physical or mental condition(s) that limit your ability to perform daily activities?"" (RADx-Tech)
- ""Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_disability` data element is the result of the harmonization of other RADx program data elements: `self_reported_disability` (RADx-UP); `cond_prev_activity` (RADx-Tech); `dht_disability` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,"GSSO:001811
GSSO:001810",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_deaf,Are you deaf or do you have serious difficulty hearing?,"The `nih_deaf` variable records responses to the prompt, or a congruently meaning prompt, ""Are you deaf or do you have serious difficulty hearing?"".  Equivalent prompts are: 

- ""Are you deaf, or do you have serious difficulty hearing?"" (RADx-UP)
- ""Are you deaf or do you have serious difficulty hearing?"" (RADx-rad)
- ""Are you deaf or do you have serious difficulty hearing?"" (RADx-Tech)
- ""Are you deaf or do you have serious difficulty hearing?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_deaf` data element is the result of the harmonization of other RADx program data elements: `disability_deaf` (RADx-UP); `deaf` (RADx-rad); `hearing` (RADx-Tech); `dht_deaf` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,"SYMP:0000019
HP:0000364",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_blind,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","The `nih_blind` variable records responses to the prompt, or a congruently meaning prompt, ""Are you blind or do you have serious difficulty seeing, even when wearing glasses?"".  Equivalent prompts are: 

- ""Are you blind, or do you have serious difficulty seeing, even when wearing glasses?"" (RADx-UP)
- ""Are you blind or do you have serious difficulty seeing, even when wearing glasses?"" (RADx-rad)
- ""Are you blind or do you have serious difficulty seeing, even when wearing glasses?"" (RADx-Tech)
- ""Are you blind or do you have serious difficulty seeing, even when wearing glasses?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_blind` data element is the result of the harmonization of other RADx program data elements: `disability_blind` (RADx-UP); `blind` (RADx-rad); `vision` (RADx-Tech); `dht_blind` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,MONDO:0001941,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_memory,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","The `nih_memory` variable records responses to the prompt, or a congruently meaning prompt, ""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?"".  Equivalent prompts are: 

- ""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? (5 years of age or older)"" (RADx-UP)
- ""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?"" (RADx-rad)
- ""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? (5 years or older)"" (RADx-Tech)
- ""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_memory` data element is the result of the harmonization of other RADx program data elements: `disability_decisions` (RADx-UP); `memory_dis` (RADx-rad); `memory` (RADx-Tech); `dht_memory` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,"SYMP:0000719
SYMP:0000543
SYMP:0020029
SYMP:0000817
SYMP:0000233
MONDO:0002039",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_walk_climb,Do you have serious difficulty walking or climbing stairs?,"The `nih_walk_climb` variable records responses to the prompt, or a congruently meaning prompt, ""Do you have serious difficulty walking or climbing stairs?"".  Equivalent prompts are: 

- ""Do you have serious difficulty walking or climbing stairs? (5 years of age or older)"" (RADx-UP)
- ""Do you have serious difficulty walking or climbing stairs?"" (RADx-rad)
- ""Do you have serious difficulty walking or climbing stairs? (5 years or older)"" (RADx-Tech)
- ""Do you have serious difficulty walking or climbing stairs?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_walk_climb` data element is the result of the harmonization of other RADx program data elements: `disability_walking` (RADx-UP); `walking_climbing_dis` (RADx-rad); `walk_stairs` (RADx-Tech); `dht_walk_climb` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,"NCIT:C111629
NCIT:C175910
",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_dress_bathe,Do you have difficulty dressing or bathing?,"The `nih_dress_bathe` variable records responses to the prompt, or a congruently meaning prompt, ""Do you have difficulty dressing or bathing?"".  Equivalent prompts are: 

- ""Do you have difficulty dressing or bathing? (5 years of age or older)"" (RADx-UP)
- ""Do you have difficulty dressing or bathing?"" (RADx-rad)
- ""Do you have difficulty dressing or bathing? (5 years or older)"" (RADx-Tech)
- ""Do you have difficulty dressing or bathing?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_dress_bathe` data element is the result of the harmonization of other RADx program data elements: `disability_dress` (RADx-UP); `dress_bathe_dis` (RADx-rad); `dressing_bathing` (RADx-Tech); `dht_dress_bathe` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,"NCIT:C95544
NCIT:C131923",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_errand,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","The `nih_errand` variable records responses to the prompt, or a congruently meaning prompt, ""Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?"".  Equivalent prompts are: 

- ""Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? (15 years of age or older)"" (RADx-UP)
- ""Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?"" (RADx-rad)
- ""Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? (15 years old or older)"" (RADx-Tech)
- ""Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_errand` data element is the result of the harmonization of other RADx program data elements: `disability_errands` (RADx-UP); `errand_dis` (RADx-rad); `doctor_shopping` (RADx-Tech); `dht_errand` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Disability Status,single,"NCIT:C121690
NCIT:C95549",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_vaping_yn,Vaping use (Yes or No),"The `nih_vaping_yn` variable records responses to the prompt, or a congruently meaning prompt, ""Vaping use (Yes or No)"".  Equivalent prompts are: 

- ""Vaping Use"" (RADx-rad)
- ""Vaping use (Yes or No)"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_vaping_yn` data element is the result of the harmonization of other RADx program data elements: `vaping` (RADx-rad); `dht_vaping` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,"NCIT:C173621
NCIT:C68751",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_nicotine_yn,Nicotine use (Yes or No),"The `nih_nicotine_yn` variable records responses to the prompt, or a congruently meaning prompt, ""Nicotine use (Yes or No)"".  Equivalent prompts are: 

- ""Nicotine Use"" (RADx-rad)
- ""Nicotine use (Yes or No)"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_nicotine_yn` data element is the result of the harmonization of other RADx program data elements: `nicotine` (RADx-rad); `dht_nicotine` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,"NCIT:C691
NCIT:C68751
NCIT:C173060",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_vape_freq,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?","The `nih_vape_freq` variable records responses to the prompt, or a congruently meaning prompt, ""Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?"".  Equivalent prompts are: 

- ""Do you now use electronic cigarettes every day, some days, rarely, or not at all? "" (RADx-UP)
- ""Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?"" (RADx-DHT)

The values for this variable are integers that come from a list of 6 permissible integer values.

The `nih_vape_freq` data element is the result of the harmonization of other RADx program data elements: `vaper_cur_stat` (RADx-UP); `dht_vaping_frequency` (RADx-DHT)
",Medical History,single,"NCIT:C173621
NCIT:C120482
NCIT:C68751
NCIT:C173060",integer,,,"""0""=[Not at all] |
""1""=[Rarely] |
""2""=[Some Days] |
""3""=[Every Day] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
nih_cig_smoke_freq,Nicotine Frequency: Do you now smoke cigarettes?,"The `nih_cig_smoke_freq` variable records responses to the prompt, or a congruently meaning prompt, ""Nicotine Frequency: Do you now smoke cigarettes?"".  Equivalent prompts are: 

- ""Do you now smoke cigarettes?"" (RADx-UP)
- ""Nicotine Frequency: Do you now smoke cigarettes?"" (RADx-DHT)

The values for this variable are integers that come from a list of 6 permissible integer values.

The `nih_cig_smoke_freq` data element is the result of the harmonization of other RADx program data elements: `smoker_cur_stat` (RADx-UP); `dht_cig_smoking_frequency` (RADx-DHT)
",Medical History,single,"NCIT:C19796
NCIT:C68751
NCIT:C173060",integer,,,"""0""=[Not at all] |
""1""=[Rarely] |
""2""=[Some Days] |
""3""=[Every Day] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
nih_smoking_yn,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?","The `nih_smoking_yn` variable records responses to the prompt ""Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_smoking_yn` data element is the result of the harmonization of other RADx program data elements: `smoking` (RADx-Tech)
",Medical History,single,"NBO:0045002
NCIT:C17934",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_history_smoking,History of Smoking,"The `nih_history_smoking` variable records responses to the prompt ""History of Smoking"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_history_smoking` data element is the result of the harmonization of other RADx program data elements: `dht_history_smoking` (RADx-DHT)
",Medical History,single,NBO:0015005,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_tobacco,Tobacco Use,"The `nih_tobacco` variable records responses to the prompt ""Tobacco Use"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_tobacco` data element is the result of the harmonization of other RADx program data elements: `dht_tobacco` (RADx-DHT)
",Medical History,single,"NBO:0045002
NCIT:C154329",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_alcohol_yn,Alcohol use (Yes or No),"The `nih_alcohol_yn` variable records responses to the prompt, or a congruently meaning prompt, ""Alcohol use (Yes or No)"".  Equivalent prompts are: 

- ""Alcohol Use"" (RADx-rad)
- ""Alcohol use (Yes or No)"" (RADx-DHT)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_alcohol_yn` data element is the result of the harmonization of other RADx program data elements: `alcohol_use` (RADx-rad); `dht_alcohol` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,"GSSO:006602
NCIT:C81229
NCIT:C16273
NBO:0000131",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_lifetime_use_alcohol,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (Yes or No)","The `nih_lifetime_use_alcohol` variable records responses to the prompt ""In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (Yes or No)"".The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_lifetime_use_alcohol` data element is the result of the harmonization of other RADx program data elements: `lifetime_use_alcohol` (RADx-UP)
",Medical History,single,"GSSO:006602
NCIT:C81229
NCIT:C16273
NBO:0000131",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_alcohol_yrs,How often did you have a drink containing alcohol in the past year?,"The `nih_alcohol_yrs` variable records responses to the prompt ""How often did you have a drink containing alcohol in the past year?"".The values for this variable are integers that come from a list of 7 permissible integer values.

The `nih_alcohol_yrs` data element is the result of the harmonization of other RADx program data elements: `alcohol` (RADx-Tech)
",Medical History,single,"GSSO:006602
NCIT:C81229
NCIT:C16273
NBO:0000131",integer,,,"""0""=[Never] |
""1""=[Monthly Or Less] |
""2""=[Two To Four Times Per Month] |
""3""=[Two To Three Times Per Week] |
""4""=[Four Or More Times Per Week] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
nih_alcohol_frequency,How often did you have a drink containing alcohol ?,"The `nih_alcohol_frequency` variable records responses to the prompt ""How often did you have a drink containing alcohol ?"".The values for this variable are integers that come from a list of 7 permissible integer values.

The `nih_alcohol_frequency` data element is the result of the harmonization of other RADx program data elements: `dht_alcohol_frequency` (RADx-DHT)
",Medical History,single,"GSSO:006602
NCIT:C81229
NCIT:C16273
NBO:0000131",integer,,,"""0""=[Never] |
""1""=[Monthly Or Less] |
""2""=[Two To Four Times Per Month] |
""3""=[Two To Three Times Per Week] |
""4""=[Four Or More Times Per Week] |
""98""=[Don't know] |
""99""=[Prefer not to answer]",,,,
nih_asthma,Asthma,"The `nih_asthma` variable records responses to the prompt, or a congruently meaning prompt, ""Asthma"".  Equivalent prompts are: 

- ""Asthma "" (RADx-UP)
- ""Asthma"" (RADx-rad)
- ""Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?"" (RADx-Tech)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_asthma` data element is the result of the harmonization of other RADx program data elements: `cc_asthma` (RADx-UP); `asthma` (RADx-rad); `asthma` (RADx-Tech); `dht_asthma` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,MONDO:0004979,integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
nih_cancer,Cancer,"The `nih_cancer` variable records responses to the prompt, or a congruently meaning prompt, ""Cancer"".  Equivalent prompts are: 

- ""Cancer"" (RADx-rad)

The values for this variable are integers that come from a list of 5 permissible integer values.

The `nih_cancer` data element is the result of the harmonization of other RADx program data elements: `cancer` (RADx-rad); `dht_cancer` (RADx-DHT)

Note that the meaning of the value `97` is context specific and depends on the subset of permissible value used by a specific study (not all studies presented the full set of permissible values documented here for this data element). Therefore, the meaning of the value `97` in an individual data record MUST be determined by referring to the original data dictionary for the non-harmonized data in that study.
",Medical History,single,"MONDO:0004992
NCIT:C9305",integer,,,"""0""=[No] |
""1""=[Yes] |
""97""=[Other] |
""98""=[Don’t know] |
""99""=[Prefer not to answer]",,,,
